Keyword	formatted_address	geometry	name	place_id	rating	user_ratings_total	Longitude	Latitude
Caverne du dragon de Oulches la Vallée Foulon, Oulches la Vallée Foulon, France	Chemin des Dames, 02160 Oulches-la-Vallée-Foulon, France	{'location': {'lat': 49.4414288, 'lng': 3.7324339}, 'viewport': {'northeast': {'lat': 49.44270657989272, 'lng': 3.733650479892722}, 'southwest': {'lat': 49.44000692010728, 'lng': 3.730950820107278}}}	Caverne du Dragon - Centre d'Accueil du Visiteur	ChIJW0MMDm6u6UcRWOESaFmjBnk	4.5	891	3.7324339	49.4414288
Caverne du dragon de Oulches la Vallée Foulon, Oulches la Vallée Foulon, France	Grotte du Dragon, 02860 Oulches-la-Vallée-Foulon, France	{'location': {'lat': 49.441603, 'lng': 3.73126}, 'viewport': {'northeast': {'lat': 49.4488576, 'lng': 3.7472674}, 'southwest': {'lat': 49.4343473, 'lng': 3.7152526}}}	Grotte du Dragon	ChIJ2a3O43Gu6UcRy2Zzg90UXnI	5.0	1	3.73126	49.441603
Parc Aqua Mundo-Center Parcs Aisne à Chamouille, Chamouille, France	1 Parc Nautique de L'Ailette, 02860 Chamouille, France	{'location': {'lat': 49.4646825, 'lng': 3.6808689}, 'viewport': {'northeast': {'lat': 49.46600317989272, 'lng': 3.682011879892721}, 'southwest': {'lat': 49.46330352010727, 'lng': 3.679312220107278}}}	Parc aquatique Aqua Mundo Center Parcs Le Lac d'Ailette	ChIJC0W006RP6EcR8JZxxzsaOag	4.1	303	3.6808689	49.4646825
Musée des papillons de Saint Quentin, Saint Quentin, France	14 Rue de la Sellerie, 02100 Saint-Quentin, France	{'location': {'lat': 49.8459415, 'lng': 3.2887558}, 'viewport': {'northeast': {'lat': 49.84732127989272, 'lng': 3.290164229892722}, 'southwest': {'lat': 49.84462162010728, 'lng': 3.287464570107277}}}	Musée Des Papillons	ChIJz2KoT3wY6EcRbBtj_Q1Cqy8	4.5	169	3.2887558	49.8459415
Base de loisirs Axoplage à Monampteuil, Monampteuil, France	5 Le Moulinet, 02000 Monampteuil, France	{'location': {'lat': 49.4703337, 'lng': 3.5542942}, 'viewport': {'northeast': {'lat': 49.47166747989273, 'lng': 3.555544579892723}, 'southwest': {'lat': 49.46896782010729, 'lng': 3.552844920107278}}}	Camping du Lac	ChIJxcnYuQtS6EcRy-y2kwzClNQ	4.1	84	3.5542942	49.4703337
Poste de douanes de Courquain, Hirson, France	Pl. De Courquain, 02500 Hirson, France	{'location': {'lat': 49.97613399999999, 'lng': 4.1737094}, 'viewport': {'northeast': {'lat': 49.97744472989272, 'lng': 4.174971479892721}, 'southwest': {'lat': 49.97474507010728, 'lng': 4.172271820107277}}}	Escape Game Courquain	ChIJ5Zyu9XULwkcRDpH_yjMSCHg	5	4	4.1737094	49.97613399999999
Fort de Condé à Chivres Val, Chivres Val, France	3 Rue du Capitaine Pestel, 02880 Chivres-Val, France	{'location': {'lat': 49.3950301, 'lng': 3.4366814}, 'viewport': {'northeast': {'lat': 49.39637992989273, 'lng': 3.438031229892723}, 'southwest': {'lat': 49.39368027010729, 'lng': 3.435331570107278}}}	Fort de Condé	ChIJ2xmFabZQ6EcRWllYyhAsHIo	4.4	374	3.4366814	49.3950301
Parc nautique de la Frette à Tergnier, Tergnier, France	Rue de la Prairie, 02700 Fargniers, France	{'location': {'lat': 49.64862549999999, 'lng': 3.3120729}, 'viewport': {'northeast': {'lat': 49.64988432989273, 'lng': 3.313541279892722}, 'southwest': {'lat': 49.64718467010728, 'lng': 3.310841620107277}}}	La Frette - La base de loisirs	ChIJu2VrA4Q_6EcR3hxKLAJPFBs	4.2	750	3.3120729	49.64862549999999
Musée du train miniature de Châtillon sur Chalaronne, Châtillon sur Chalaronne, France	96 Place des Halles, 01400 Châtillon-sur-Chalaronne, France	{'location': {'lat': 46.11841099999999, 'lng': 4.957206999999999}, 'viewport': {'northeast': {'lat': 46.11983452989272, 'lng': 4.958577529892722}, 'southwest': {'lat': 46.11713487010727, 'lng': 4.955877870107278}}}	Musée du Train Miniature de Châtillon sur Chalaronne	ChIJtVwxAZVf80cRoMM6w__DZYc	4.5	364	4.957206999999999	46.11841099999999
Musée des temps barbares à Marle, Marle, France	7 Rue des Moulins, 02250 Marle, France	{'location': {'lat': 49.7417269, 'lng': 3.7713904}, 'viewport': {'northeast': {'lat': 49.74303927989272, 'lng': 3.772758429892721}, 'southwest': {'lat': 49.74033962010728, 'lng': 3.770058770107278}}}	Musée des Temps Barbares	ChIJa2vuB5DO6UcRk34zN5pQWzs	4.2	87	3.7713904	49.7417269
Musée du Revermont à Treffort Cuisiat, Treffort Cuisiat, France	40 Rue Principale, 01370 Val-Revermont, France	{'location': {'lat': 46.29417610000001, 'lng': 5.380683299999999}, 'viewport': {'northeast': {'lat': 46.29552592989272, 'lng': 5.38203312989272}, 'southwest': {'lat': 46.29282627010728, 'lng': 5.379333470107277}}}	Musée du Revermont	ChIJH1xhie6zjEcRctf22Nxe2lQ	4.3	133	5.380683299999999	46.29417610000001
Mémorial des enfants d'Izieu, Izieu, France	70 Route de Lambraz, 01300 Izieu, France	{'location': {'lat': 45.6490314, 'lng': 5.6323662}, 'viewport': {'northeast': {'lat': 45.65031147989272, 'lng': 5.633750879892721}, 'southwest': {'lat': 45.64761182010727, 'lng': 5.631051220107278}}}	Maison d'Izieu	ChIJNxRR_NQQi0cR4aLfMsPAjwA	4.6	639	5.6323662	45.6490314
Musée des soieries Bonnet à Jujurieux, Jujurieux, France	19 bis Rue Claude Joseph Bonnet, 01640 Jujurieux, France	{'location': {'lat': 46.0421545, 'lng': 5.4102583}, 'viewport': {'northeast': {'lat': 46.04362202989272, 'lng': 5.412007879892722}, 'southwest': {'lat': 46.04092237010728, 'lng': 5.409308220107278}}}	Musée des Soieries Bonnet	ChIJ-wTjdAdXi0cR_1IZ-dxaWS0	4.5	180	5.4102583	46.0421545
Musée de la coopération franco-américaine, Blérancourt, France	33 Place du Général Leclerc, 02300 Blérancourt, France	{'location': {'lat': 49.5177282, 'lng': 3.1537843}, 'viewport': {'northeast': {'lat': 49.51910997989272, 'lng': 3.155112729892722}, 'southwest': {'lat': 49.51641032010728, 'lng': 3.152413070107277}}}	Château de Blérancourt Musée franco-américain	ChIJT2BUaVJo6EcRCJKF_wKjt84	4.4	234	3.1537843	49.5177282
Familistère de Guise, Guise, France	Cité Familistere, 02120 Guise, France	{'location': {'lat': 49.904727, 'lng': 3.625237}, 'viewport': {'northeast': {'lat': 49.90588002989272, 'lng': 3.626930379892722}, 'southwest': {'lat': 49.90318037010728, 'lng': 3.624230720107279}}}	Le Familistère de Guise	ChIJyXtZOPPU6UcR5Wwsya0eDbw	4.5	1714	3.625237	49.904727
Musée départemental d'histoire de la résistance et de la déportation de l'Ain et du Haut-Jura à Nantua, Nantua, France	3 Montée de l'Abbaye, 01130 Nantua, France	{'location': {'lat': 46.152401, 'lng': 5.6082736}, 'viewport': {'northeast': {'lat': 46.15373662989272, 'lng': 5.609623429892722}, 'southwest': {'lat': 46.15103697010728, 'lng': 5.606923770107278}}}	Musée de la Résistance et de la Déportation de l'Ain	ChIJBw2YECaijEcR_Spc0gAplMs	4.6	147	5.6082736	46.152401
Village des métiers d'antan à Saint Quentin, Saint Quentin, France	5 Rue de la Fère, 02100 Saint-Quentin, France	{'location': {'lat': 49.8343114, 'lng': 3.30689}, 'viewport': {'northeast': {'lat': 49.83563842989272, 'lng': 3.308084279892722}, 'southwest': {'lat': 49.83293877010727, 'lng': 3.305384620107278}}}	Village des Métiers d'Antan & Musée Motobécane	ChIJd7TmEpoi6EcRWHH1mStEnuM	4.6	484	3.30689	49.8343114
Citadelle d'Entrevaux, Entrevaux, France	Porte Royale du Pont Levis, 04320 Entrevaux, France	{'location': {'lat': 43.9524505, 'lng': 6.8136205}, 'viewport': {'northeast': {'lat': 43.95380032989272, 'lng': 6.814970329892721}, 'southwest': {'lat': 43.95110067010727, 'lng': 6.812270670107277}}}	Citadelle d'Entrevaux	ChIJrXVFh2pBzBIR9PZwWDb2-ZE	4.5	275	6.8136205	43.9524505
Musée Anne de Beaujeu + Maison Mantin + Mal Coiffée à Moulins , Moulins, France	Rue du Vieux Château, 03000 Moulins, France	{'location': {'lat': 46.567254, 'lng': 3.3303393}, 'viewport': {'northeast': {'lat': 46.56867952989271, 'lng': 3.331867429892722}, 'southwest': {'lat': 46.56597987010727, 'lng': 3.329167770107277}}}	Musée Anne-De-Beaujeu & Maison Mantin	ChIJx3S3JkYc8UcRCQN7ppEz9Rg	0	0	3.3303393	46.567254
Musée de l'Illustration Jeunesse à Moulins , Moulins, France	26 Rue Voltaire, 03000 Moulins, France	{'location': {'lat': 46.5666901, 'lng': 3.3333506}, 'viewport': {'northeast': {'lat': 46.56804757989272, 'lng': 3.334717929892722}, 'southwest': {'lat': 46.56534792010728, 'lng': 3.332018270107278}}}	Musée de l'illustration jeunesse MIJ	ChIJjfpp_EYc8UcRuEQmw9dWodY	4.5	148	3.3333506	46.5666901
Musée Alexandra David Neel de Digne-les-Bains, Digne les Bains, France	27 Avenue du Maréchal Juin, 04000 Digne-les-Bains, France	{'location': {'lat': 44.0815787, 'lng': 6.2241135}, 'viewport': {'northeast': {'lat': 44.08305842989272, 'lng': 6.225309529892721}, 'southwest': {'lat': 44.08035877010727, 'lng': 6.222609870107277}}}	Maison Alexandra David-Neel	ChIJISy88aaayxIR4jbVh6tMyrU	4.5	224	6.2241135	44.0815787
Musée-promenade de Digne les Bains, Digne les Bains, France	BP 30156, Montée du Parc Saint-Benoît, 04990 Digne-les-Bains, France	{'location': {'lat': 44.1097414, 'lng': 6.2280975}, 'viewport': {'northeast': {'lat': 44.11113862989271, 'lng': 6.22952452989272}, 'southwest': {'lat': 44.10843897010727, 'lng': 6.226824870107277}}}	UNESCO Géoparc de Haute-Provence - Musée Promenade	ChIJN5ASadqEyxIRnTADrmVjtK8	4.2	340	6.2280975	44.1097414
Parc d'attractions Le Pal de Saint Pourçain sur Besbre, Saint Pourçain sur Besbre, France	Saint-Pourçain-sur-Besbre, 03290 Dompierre-sur-Besbre, France	{'location': {'lat': 46.509026, 'lng': 3.625388}, 'viewport': {'northeast': {'lat': 46.51102115, 'lng': 3.626930250000002}, 'southwest': {'lat': 46.50640775000001, 'lng': 3.620761249999998}}}	Le PAL	ChIJRy_iLyNr8UcRGeGyzpTNzcA	4.6	14491	3.625388	46.509026
Musée ethnologique de Haute-Provence de Mane, Mane, France	Le Prieuré, 04300 Mane, France	{'location': {'lat': 43.934307, 'lng': 5.760808}, 'viewport': {'northeast': {'lat': 43.93568912989272, 'lng': 5.762212179892723}, 'southwest': {'lat': 43.93298947010728, 'lng': 5.759512520107279}}}	Salagon, musée et jardins	ChIJi6q-YZLKyxIR6iVIh5L_5Qs	4.3	479	5.760808	43.934307
Observatoire de Haute-Provence à Saint Michel l'Observatoire, Saint Michel l'Observatoire, France	04870 Saint-Michel-l'Observatoire, France	{'location': {'lat': 43.9345695, 'lng': 5.710543299999999}, 'viewport': {'northeast': {'lat': 43.93592447989272, 'lng': 5.711919579892721}, 'southwest': {'lat': 43.93322482010728, 'lng': 5.709219920107278}}}	Observatoire de Haute Provence [CNRS]	ChIJ5w_1sD41yhIR1Qjx0xFeBJw	4.2	33	5.710543299999999	43.9345695
Centre d'astronomie de Saint-Michel-l'Observatoire, Saint Michel l'Observatoire, France	Plateau du Moulin à Vent, 04870 Saint-Michel-l'Observatoire, France	{'location': {'lat': 43.906352, 'lng': 5.727353}, 'viewport': {'northeast': {'lat': 43.90758717989272, 'lng': 5.728605129892721}, 'southwest': {'lat': 43.90488752010727, 'lng': 5.725905470107278}}}	Centre d'Astronomie Saint-Michel L'Observatoire	ChIJg8M0Vdo0yhIR5p5rSa-39ac	4.5	125	5.727353	43.906352
